Edge1-Edge2	KappaScore
GO:0019219 (term-term) GO:0010556	0.7101293158073493
GO:0019219 (term-term) GO:0010557	0.5148315245881527
GO:0019219 (term-term) GO:0010558	0.41850269176130306
GO:0019219 (term-term) GO:0010604	0.5197872184272975
GO:0019219 (term-term) GO:0010605	0.41215653388454326
GO:0019219 (term-term) GO:0016070	0.7402331896684735
GO:0019320 (term-term) GO:0006007	0.8766492959308105
GO:0019320 (term-term) GO:0006090	0.5511473480709423
GO:0019320 (term-term) GO:0006195	0.5511473480709423
GO:0019320 (term-term) GO:0009132	0.5596915623187394
GO:0019320 (term-term) GO:0009179	0.5869111162682757
GO:0019320 (term-term) GO:0009261	0.568492320479297
GO:0019320 (term-term-ontology) GO:0006007	2.0
GO:0019364 (term-term) GO:0006007	0.6129152514290455
GO:0019364 (term-term) GO:0006090	0.8502418845965071
GO:0019364 (term-term) GO:0006195	0.900161256397673
GO:0019364 (term-term) GO:0009132	0.8610598620533055
GO:0019364 (term-term) GO:0009179	0.8951445444236633
GO:0019364 (term-term) GO:0009261	0.8721429700182446
GO:0019364 (term-term) GO:0019320	0.627395383356485
GO:0021510 (term-term-ontology) GO:0007417	2.0
GO:0021537 (term-term) GO:0007417	0.41031615446624775
GO:0021537 (term-term) GO:0007420	0.5387640839367931
GO:0021543 (term-term) GO:0007420	0.41845902531990153
GO:0021543 (term-term) GO:0021537	0.8355977131457171
GO:0021543 (term-term-ontology) GO:0021537	2.0
GO:0021761 (term-term) GO:0021537	0.6031431459204494
GO:0021761 (term-term) GO:0021543	0.6927307793042705
GO:0021766 (term-term) GO:0021537	0.599512698377856
GO:0021766 (term-term) GO:0021543	0.7472753333153038
GO:0021766 (term-term) GO:0021761	0.8387486411402334
GO:0021766 (term-term-ontology) GO:0021543	2.0
GO:0021766 (term-term-ontology) GO:0021761	2.0
GO:0021953 (term-term-ontology) GO:0007417	2.0
GO:0022008 (term-term) GO:0007417	0.4371507275811954
GO:0030182 (term-term) GO:0007409	0.46355931303304193
GO:0030182 (term-term) GO:0010975	0.4572737198093358
GO:0030182 (term-term) GO:0022008	0.8809742723883718
GO:0030182 (term-term-ontology) GO:0021953	2.0
GO:0030490 (term-term) GO:0000462	0.8352723426758334
GO:0030490 (term-term) GO:0006364	0.5279388183051675
GO:0030490 (term-term) GO:0016072	0.4601094080051987
GO:0030490 (term-term-ontology) GO:0000462	2.0
GO:0030490 (term-term-ontology) GO:0006364	2.0
GO:0030900 (term-term) GO:0007417	0.5408915988321112
GO:0030900 (term-term) GO:0007420	0.692411438686701
GO:0030900 (term-term) GO:0021537	0.8209507715211133
GO:0030900 (term-term) GO:0021543	0.6663692729849078
GO:0030900 (term-term) GO:0021761	0.5842372800836119
GO:0030900 (term-term) GO:0021766	0.4592397350539994
GO:0030900 (term-term) GO:0021953	0.42671100997724415
GO:0030900 (term-term-ontology) GO:0007420	2.0
GO:0030900 (term-term-ontology) GO:0021537	2.0
GO:0030900 (term-term-ontology) GO:0021761	2.0
GO:0030902 (term-term-ontology) GO:0007420	2.0
GO:0031175 (term-term) GO:0007409	0.6150671544221549
GO:0031175 (term-term) GO:0010975	0.6075395378137334
GO:0031175 (term-term) GO:0022008	0.696927314851413
GO:0031175 (term-term) GO:0030182	0.80906537231582
GO:0031175 (term-term-ontology) GO:0010975	2.0
GO:0031346 (term-term) GO:0010975	0.5298113207547164
GO:0032774 (term-term) GO:0006351	0.8152391563700578
GO:0032774 (term-term) GO:0006355	0.7755403853009918
GO:0032774 (term-term) GO:0009891	0.4111715211046668
GO:0032774 (term-term) GO:0010468	0.6293267643548265
GO:0032774 (term-term) GO:0010556	0.6058339111905209
GO:0032774 (term-term) GO:0010557	0.4233127520228768
GO:0032774 (term-term) GO:0016070	0.9568311897844878
GO:0032774 (term-term) GO:0019219	0.7355019894777004
GO:0032774 (term-term-ontology) GO:0006351	2.0
GO:0032774 (term-term-ontology) GO:0006396	2.0
GO:0032774 (term-term-ontology) GO:0016070	2.0
GO:0042063 (term-term) GO:0010001	0.9094924020106342
GO:0042063 (term-term-ontology) GO:0010001	2.0
GO:0042063 (term-term-ontology) GO:0022008	2.0
GO:0042274 (term-term) GO:0000462	0.6046125318705087
GO:0042274 (term-term) GO:0006364	0.5938315892254475
GO:0042274 (term-term) GO:0016072	0.5265012968012249
GO:0042274 (term-term) GO:0030490	0.7532703803170747
GO:0042274 (term-term-ontology) GO:0030490	2.0
GO:0045934 (term-term) GO:0006351	0.4412497695383773
GO:0045934 (term-term) GO:0006355	0.46547862259088774
GO:0045934 (term-term) GO:0009890	0.7108819531324024
GO:0045934 (term-term) GO:0010558	0.7180296512611822
GO:0045934 (term-term) GO:0010605	0.6862020460830174
GO:0045934 (term-term) GO:0019219	0.4625041796228838
GO:0045934 (term-term-ontology) GO:0019219	2.0
GO:0045935 (term-term) GO:0006351	0.5673547265888472
GO:0045935 (term-term) GO:0006355	0.5966139181359417
GO:0045935 (term-term) GO:0009891	0.7282112577083978
GO:0045935 (term-term) GO:0010468	0.4261930038062195
GO:0045935 (term-term) GO:0010556	0.43256297913361924
GO:0045935 (term-term) GO:0010557	0.7526403557531962
GO:0045935 (term-term) GO:0010604	0.7269955568224774
